year,ft_democratic_party,ft_republican_party,education
2012,,97,Some College
2012,40,30,College Degree
2012,60,0,College Degree
2012,70,40,Some High School
2012,60,50,High School
2012,30,50,College Degree
2012,15,70,High School and Non-Academic Training
2012,60,30,Some College
2012,60,40,College Degree
2012,85,15,Some College
2012,60,70,Some College
2012,70,0,High School
2012,70,70,High School
2012,30,15,College Degree
2012,60,,8th Grade or Less
2012,50,70,College Degree
2012,,,Some High School
2012,60,60,College Degree
2012,15,97,Some College
2012,85,0,High School
2012,50,70,Some College
2012,40,30,Some College
2012,85,40,Some College
2012,15,70,College Degree
2012,50,50,Some College
2012,70,30,College Degree
2012,85,15,Some College
2012,50,50,Some College
2012,60,0,Some College
2012,70,30,Some College
2012,,,High School
2012,70,40,High School
2012,60,12,College Degree
2012,50,50,Some College
2012,55,40,College Degree
2012,85,30,College Degree
2012,70,40,College Degree
2012,50,60,Some College
2012,15,30,Some College
2012,90,45,Some College
2012,60,50,College Degree
2012,85,40,Some College
2012,30,85,College Degree
2012,50,60,High School
2012,85,15,Some College
2012,50,50,Some College
2012,85,0,Some College
2012,50,50,Some College
2012,85,50,High School
2012,0,70,High School and Non-Academic Training
2012,97,50,High School
2012,85,0,Some High School
2012,70,85,Some College
2012,85,30,Some College
2012,97,0,College Degree
2012,40,60,College Degree
2012,97,50,High School
2012,40,70,High School
2012,50,50,Some College
2012,60,60,Some College
2012,97,50,Some College
2012,85,15,College Degree
2012,30,97,Some High School
2012,60,40,High School
2012,97,60,Some College
2012,85,50,Some College
2012,97,0,High School
2012,15,50,High School
2012,50,50,Some College
2012,97,15,High School
2012,90,0,Some High School
2012,15,60,Some College
2012,85,30,College Degree
2012,70,40,Some College
2012,70,40,High School
2012,40,40,High School
2012,60,40,College Degree
2012,60,97,High School
2012,97,70,High School
2012,40,40,High School
2012,70,60,High School
2012,60,30,High School
2012,85,60,High School and Non-Academic Training
2012,85,85,Some High School
2012,97,0,Some College
2012,50,,Some High School
2012,85,70,Some College
2012,50,50,Some High School
2012,60,40,High School and Non-Academic Training
2012,50,50,College Degree
2012,60,15,Some College
2012,70,15,Some College
2012,60,0,College Degree
2012,40,40,College Degree
2012,30,70,Some College
2012,65,35,High School
2012,15,15,High School
2012,0,70,College Degree
2012,85,30,Some College
2012,70,69,Some College
2012,60,0,College Degree
2012,10,80,Some College
2012,12,54,High School
2012,60,15,College Degree
2012,23,62,Some College
2012,20,70,High School
2012,50,70,Some College
2012,50,50,College Degree
2012,50,70,College Degree
2012,0,50,Some College
2012,60,70,High School
2012,40,15,College Degree
2012,50,60,High School
2012,15,70,Some College
2012,85,30,High School
2012,85,15,College Degree
2012,97,0,High School
2012,40,40,College Degree
2012,85,0,High School
2012,30,0,Some College
2012,70,90,Some College
2012,85,40,8th Grade or Less
2012,30,70,Some College
2012,45,20,High School
2012,60,0,College Degree
2012,60,70,Some College
2012,50,70,College Degree
2012,60,70,Some College
2012,40,40,Some College
2012,85,40,High School
2012,50,30,High School
2012,40,50,College Degree
2012,80,30,Some College
2012,50,60,Some College
2012,0,97,College Degree
2012,15,85,College Degree
2012,70,0,College Degree
2012,50,50,Some College
2012,50,50,Some College
2012,0,0,High School
2012,70,30,High School
2012,85,15,College Degree
2012,0,70,Some College
2012,15,70,College Degree
2012,0,97,Some College
2012,10,10,Some College
2012,65,10,Some College
2012,97,20,High School
2012,12,85,
2012,60,30,College Degree
2012,90,90,High School and Non-Academic Training
2012,50,50,Some College
2012,70,0,College Degree
2012,85,0,Some College
2012,97,0,High School
2012,20,65,College Degree
2012,0,90,College Degree
2012,35,65,College Degree
2012,70,30,Some College
2012,35,75,High School and Non-Academic Training
2012,30,50,College Degree
2012,10,65,High School and Non-Academic Training
2012,60,0,College Degree
2012,50,50,Some College
2012,60,40,College Degree
2012,15,0,High School
2012,40,15,College Degree
2012,0,97,Some College
2012,70,15,College Degree
2012,15,85,College Degree
2012,85,0,College Degree
2012,30,30,Some College
2012,30,75,Some College
2012,60,15,College Degree
2012,97,10,Some College
2012,15,40,Some High School
2012,90,10,College Degree
2012,85,0,Some College
2012,65,10,High School
2012,50,25,College Degree
2012,15,70,College Degree
2012,97,15,Some College
2012,70,15,Some College
2012,7,8,Some College
2012,0,97,College Degree
2012,85,15,Some College
2012,15,70,College Degree
2012,97,15,Some College
2012,0,55,Some College
2012,50,65,College Degree
2012,72,10,College Degree
2012,85,40,Some College
2012,80,0,College Degree
2012,50,70,Some College
2012,15,60,High School
2012,85,0,Some College
2012,15,70,High School
2012,92,50,High School
2012,60,0,College Degree
2012,30,85,Some College
2012,70,40,High School
2012,70,30,College Degree
2012,0,40,Some College
2012,60,70,High School
2012,40,85,Some High School
2012,65,0,College Degree
2012,0,0,Some College
2012,60,50,College Degree
2012,40,60,Some College
2012,0,0,High School and Non-Academic Training
2012,40,60,Some College
2012,60,15,High School
2012,0,30,High School and Non-Academic Training
2012,40,60,College Degree
2012,70,40,Some College
2012,21,66,College Degree
2012,50,50,College Degree
2012,0,85,College Degree
2012,70,0,Some College
2012,70,15,Some College
2012,70,15,Some College
2012,85,0,College Degree
2012,60,97,College Degree
2012,85,15,College Degree
2012,40,85,College Degree
2012,30,40,High School
2012,0,60,High School and Non-Academic Training
2012,15,70,College Degree
2012,70,50,High School
2012,0,0,Some College
2012,85,15,High School
2012,75,40,College Degree
2012,0,97,High School
2012,15,85,High School
2012,68,67,College Degree
2012,60,1,College Degree
2012,97,0,Some College
2012,40,55,College Degree
2012,50,50,High School
2012,5,97,Some College
2012,0,50,Some College
2012,50,50,Some College
2012,60,30,High School and Non-Academic Training
2012,70,40,
2012,85,75,High School
2012,45,55,College Degree
2012,30,60,High School
2012,5,70,College Degree
2012,70,40,College Degree
2012,20,80,High School
2012,70,0,High School
2012,55,20,College Degree
2012,75,35,High School
2012,5,50,High School
2012,50,5,College Degree
2012,40,40,College Degree
2012,70,30,High School
2012,60,40,College Degree
2012,15,60,College Degree
2012,70,40,Some College
2012,85,15,High School
2012,85,30,College Degree
2012,0,85,High School
2012,60,50,College Degree
2012,70,0,Some College
2012,85,15,College Degree
2012,60,30,Some College
2012,2,50,College Degree
2012,97,0,High School
2012,30,70,Some College
2012,10,90,College Degree
2012,30,60,Some College
2012,75,15,College Degree
2012,30,70,College Degree
2012,40,60,High School and Non-Academic Training
2012,97,0,High School
2012,60,15,College Degree
2012,15,90,College Degree
2012,50,50,Some College
2012,55,55,Some College
2012,10,65,College Degree
2012,60,50,Some High School
2012,15,70,Some College
2012,85,50,Some College
2012,0,70,High School
2012,70,40,College Degree
2012,0,60,Some College
2012,15,70,Some College
2012,30,15,Some College
2012,40,95,Some High School
2012,0,85,High School and Non-Academic Training
2012,5,35,College Degree
2012,75,0,College Degree
2012,40,50,Some College
2012,55,60,College Degree
2012,85,10,Some College
2012,40,60,Some College
2012,45,45,High School
2012,85,0,High School
2012,5,20,College Degree
2012,60,40,Some College
2012,90,30,High School
2012,97,40,High School and Non-Academic Training
2012,85,50,High School
2012,30,85,Some College
2012,30,60,College Degree
2012,60,85,College Degree
2012,20,1,College Degree
2012,97,0,High School
2012,70,5,College Degree
2012,60,15,College Degree
2012,15,70,High School
2012,40,50,Some College
2012,85,40,Some College
2012,90,0,High School and Non-Academic Training
2012,50,0,College Degree
2012,5,30,College Degree
2012,97,0,Some College
2012,90,30,College Degree
2012,35,35,Some College
2012,0,85,College Degree
2012,30,60,Some College
2012,85,40,Some College
2012,75,47,College Degree
2012,15,60,Some College
2012,2,65,College Degree
2012,70,15,College Degree
2012,97,50,High School
2012,0,97,High School
2012,60,40,College Degree
2012,22,80,Some College
2012,85,30,
2012,30,85,College Degree
2012,40,40,College Degree
2012,0,97,College Degree
2012,79,45,College Degree
2012,60,25,Some College
2012,0,0,College Degree
2012,5,55,Some College
2012,35,85,High School
2012,40,60,High School and Non-Academic Training
2012,60,15,College Degree
2012,75,25,High School
2012,5,40,College Degree
2012,70,40,College Degree
2012,50,50,High School
2012,30,70,College Degree
2012,50,50,High School
2012,50,85,High School
2012,30,40,High School
2012,93,0,High School
2012,30,85,Some College
2012,55,40,Some College
2012,97,30,College Degree
2012,70,0,College Degree
2012,85,30,College Degree
2012,0,97,High School
2012,22,4,Some College
2012,0,70,College Degree
2012,15,70,Some College
2012,50,50,College Degree
2012,70,70,College Degree
2012,40,60,High School
2012,85,30,High School
2012,30,40,College Degree
2012,15,85,College Degree
2012,30,60,College Degree
2012,50,50,Some College
2012,90,15,High School
2012,85,0,Some College
2012,40,70,High School and Non-Academic Training
2012,30,40,College Degree
2012,95,15,High School
2012,97,15,High School
2012,15,60,College Degree
2012,20,70,College Degree
2012,60,30,Some College
2012,40,10,College Degree
2012,50,10,College Degree
2012,2,89,College Degree
2012,60,50,High School
2012,0,70,College Degree
2012,75,2,College Degree
2012,35,70,Some College
2012,85,15,High School
2012,50,70,College Degree
2012,85,40,Some College
2012,60,60,College Degree
2012,0,97,College Degree
2012,90,40,High School and Non-Academic Training
2012,30,70,Some College
2012,0,70,Some College
2012,75,0,College Degree
2012,85,15,College Degree
2012,0,0,Some College
2012,10,97,High School
2012,0,95,College Degree
2012,30,85,College Degree
2012,70,15,College Degree
2012,55,55,Some College
2012,50,30,College Degree
2012,20,10,College Degree
2012,0,97,Some College
2012,55,30,Some College
2012,30,30,High School
2012,0,85,College Degree
2012,75,10,College Degree
2012,55,35,College Degree
2012,0,55,Some College
2012,65,55,College Degree
2012,59,45,College Degree
2012,85,15,College Degree
2012,85,15,High School
2012,30,30,Some College
2012,0,97,Some College
2012,0,70,College Degree
2012,30,85,High School
2012,50,50,High School
2012,50,50,High School and Non-Academic Training
2012,0,97,College Degree
2012,75,10,High School
2012,30,40,Some College
2012,70,0,High School
2012,40,80,High School and Non-Academic Training
2012,50,50,High School
2012,50,0,High School
2012,15,70,High School
2012,60,0,Some College
2012,0,85,High School
2012,70,40,High School
2012,97,0,High School
2012,45,55,College Degree
2012,60,15,Some College
2012,97,75,High School
2012,55,30,College Degree
2012,30,30,College Degree
2012,0,0,College Degree
2012,0,50,College Degree
2012,70,30,High School and Non-Academic Training
2012,70,0,High School
2012,0,60,Some College
2012,0,30,Some College
2012,70,15,College Degree
2012,0,0,High School
2012,50,10,Some College
2012,0,50,High School
2012,70,75,College Degree
2012,85,0,College Degree
2012,30,85,College Degree
2012,0,70,High School and Non-Academic Training
2012,85,40,College Degree
2012,30,60,High School and Non-Academic Training
2012,0,97,College Degree
2012,50,65,Some College
2012,50,50,High School
2012,80,10,College Degree
2012,70,70,High School and Non-Academic Training
2012,0,10,Some College
2012,30,30,High School
2012,78,18,College Degree
2012,50,15,College Degree
2012,60,40,College Degree
2012,30,80,High School and Non-Academic Training
2012,15,85,High School
2012,85,15,High School
2012,15,50,High School
2012,50,50,Some College
2012,70,15,College Degree
2012,40,20,College Degree
2012,50,50,High School and Non-Academic Training
2012,40,70,Some College
2012,10,60,College Degree
2012,70,30,High School and Non-Academic Training
2012,60,70,High School
2012,0,85,Some College
2012,15,60,High School
2012,0,0,College Degree
2012,0,60,High School
2012,50,0,Some College
2012,50,60,High School
2012,35,80,High School and Non-Academic Training
2012,10,65,High School
2012,30,70,College Degree
2012,12,85,College Degree
2012,30,60,Some College
2012,80,3,College Degree
2012,50,50,Some College
2012,50,50,Some College
2012,30,97,Some High School
2012,90,10,College Degree
2012,10,85,College Degree
2012,40,70,College Degree
2012,97,0,Some College
2012,85,70,Some College
2012,0,85,High School
2012,60,0,College Degree
2012,0,70,High School
2012,70,50,College Degree
2012,50,30,Some High School
2012,15,85,High School and Non-Academic Training
2012,10,68,Some College
2012,50,50,Some High School
2012,97,76,High School
2012,55,0,College Degree
2012,49,49,High School
2012,60,40,High School
2012,50,50,High School and Non-Academic Training
2012,97,0,Some College
2012,70,40,High School
2012,15,85,Some High School
2012,60,40,College Degree
2012,39,41,Some College
2012,40,70,High School
2012,85,0,High School
2012,30,15,High School
2012,30,30,Some College
2012,70,15,College Degree
2012,15,70,Some College
2012,50,15,High School
2012,85,0,High School
2012,30,15,Some College
2012,85,55,College Degree
2012,75,10,High School
2012,70,60,Some High School
2012,72,4,Some College
2012,75,50,College Degree
2012,80,6,College Degree
2012,30,40,Some College
2012,60,60,College Degree
2012,80,25,High School
2012,85,85,High School
2012,50,50,Some College
2012,60,0,College Degree
2012,0,0,College Degree
2012,70,0,College Degree
2012,75,40,Some College
2012,45,50,College Degree
2012,40,70,College Degree
2012,15,70,College Degree
2012,20,50,Some High School
2012,30,75,College Degree
2012,70,0,College Degree
2012,60,15,College Degree
2012,85,0,Some College
2012,70,15,Some College
2012,80,50,High School
2012,0,70,Some College
2012,55,0,Some College
2012,0,0,College Degree
2012,50,85,Some College
2012,30,79,Some College
2012,70,0,High School
2012,60,70,High School
2012,70,0,High School
2012,65,5,College Degree
2012,75,35,College Degree
2012,25,80,College Degree
2012,85,30,High School and Non-Academic Training
2012,85,0,College Degree
2012,50,65,Some College
2012,70,30,8th Grade or Less
2012,30,85,College Degree
2012,20,90,Some College
2012,40,75,College Degree
2012,75,25,Some College
2012,15,85,College Degree
2012,35,75,College Degree
2012,85,40,College Degree
2012,15,85,Some College
2012,45,50,High School
2012,70,40,Some College
2012,97,0,High School
2012,40,90,High School
2012,60,1,High School
2012,30,30,High School
2012,50,50,High School
2012,15,0,College Degree
2012,97,0,Some College
2012,50,50,College Degree
2012,40,75,Some College
2012,45,60,College Degree
2012,0,80,Some High School
2012,85,40,Some College
2012,50,40,Some College
2012,15,85,College Degree
2012,97,0,High School
2012,80,15,High School
2012,85,15,Some College
2012,60,75,High School
2012,30,70,Some College
2012,0,40,College Degree
2012,0,60,College Degree
2012,0,97,Some College
2012,70,30,Some College
2012,60,0,College Degree
2012,40,30,College Degree
2012,0,70,Some High School
2012,20,80,High School
2012,85,50,High School
2012,15,60,High School and Non-Academic Training
2012,0,97,High School and Non-Academic Training
2012,60,0,College Degree
2012,60,60,High School
2012,50,40,College Degree
2012,50,50,High School
2012,10,70,Some College
2012,50,50,College Degree
2012,75,30,College Degree
2012,30,55,College Degree
2012,80,0,College Degree
2012,0,85,College Degree
2012,0,85,Some College
2012,97,15,College Degree
2012,0,70,Some High School
2012,60,0,College Degree
2012,50,50,High School
2012,65,5,College Degree
2012,70,30,College Degree
2012,90,0,College Degree
2012,80,45,College Degree
2012,60,50,College Degree
2012,25,65,Some College
2012,60,60,High School
2012,15,97,High School
2012,0,70,College Degree
2012,50,0,Some College
2012,0,15,College Degree
2012,65,70,Some College
2012,60,70,High School and Non-Academic Training
2012,60,60,Some College
2012,33,66,Some College
2012,85,15,College Degree
2012,85,70,College Degree
2012,70,2,Some College
2012,30,80,College Degree
2012,30,30,Some College
2012,0,20,Some College
2012,85,60,College Degree
2012,60,10,College Degree
2012,40,50,College Degree
2012,55,5,College Degree
2012,40,15,College Degree
2012,70,0,High School
2012,50,50,Some College
2012,0,85,Some College
2012,30,60,High School and Non-Academic Training
2012,60,30,Some College
2012,0,97,College Degree
2012,60,20,College Degree
2012,30,85,High School
2012,85,15,College Degree
2012,51,40,College Degree
2012,0,80,College Degree
2012,70,30,High School
2012,70,85,Some College
2012,15,70,High School
2012,40,85,High School
2012,70,40,College Degree
2012,50,50,High School
2012,15,70,High School
2012,50,50,Some College
2012,0,0,Some High School
2012,75,0,College Degree
2012,50,40,College Degree
2012,30,85,College Degree
2012,20,60,High School and Non-Academic Training
2012,50,60,High School
2012,97,40,High School and Non-Academic Training
2012,65,40,High School and Non-Academic Training
2012,15,60,High School and Non-Academic Training
2012,80,0,High School and Non-Academic Training
2012,60,60,College Degree
2012,0,70,College Degree
2012,0,97,High School
2012,50,50,College Degree
2012,60,40,High School
2012,60,15,Some College
2012,30,40,College Degree
2012,40,0,College Degree
2012,90,15,College Degree
2012,50,60,College Degree
2012,55,15,College Degree
2012,97,85,High School
2012,60,15,Some High School
2012,70,75,College Degree
2012,40,70,Some College
2012,40,50,High School
2012,40,50,College Degree
2012,50,55,College Degree
2012,0,70,High School
2012,90,0,College Degree
2012,0,90,College Degree
2012,50,85,College Degree
2012,40,60,High School
2012,97,50,Some College
2012,51,40,High School
2012,0,60,Some College
2012,60,15,Some College
2012,85,1,College Degree
2012,60,21,High School
2012,95,5,College Degree
2012,15,60,High School
2012,85,30,Some College
2012,50,50,Some College
2012,70,70,Some College
2012,60,30,High School
2012,15,65,High School
2012,60,40,Some College
2012,30,60,College Degree
2012,40,70,High School
2012,85,15,Some College
2012,60,30,Some College
2012,70,5,Some College
2012,0,80,College Degree
2012,0,85,College Degree
2012,66,15,College Degree
2012,45,60,College Degree
2012,15,60,College Degree
2012,50,30,High School
2012,85,0,Some College
2012,97,0,High School and Non-Academic Training
2012,10,10,High School
2012,15,70,College Degree
2012,40,50,High School and Non-Academic Training
2012,85,0,Some College
2012,30,50,College Degree
2012,22,88,8th Grade or Less
2012,97,50,Some High School
2012,40,60,High School
2012,40,60,High School
2012,40,60,High School
2012,60,40,High School
2012,85,45,Some College
2012,50,50,High School
2012,30,60,College Degree
2012,85,30,Some College
2012,30,60,Some College
2012,15,25,Some College
2012,15,70,College Degree
2012,50,50,Some College
2012,50,70,College Degree
2012,85,15,College Degree
2012,0,60,College Degree
2012,50,85,College Degree
2012,40,70,High School
2012,40,40,Some College
2012,45,60,College Degree
2012,0,70,Some High School
2012,60,40,High School
2012,40,50,High School and Non-Academic Training
2012,52,78,Some College
2012,95,60,High School
2012,50,60,High School
2012,0,97,High School
2012,70,30,Some College
2012,30,85,Some College
2012,0,40,Some College
2012,85,0,Some High School
2012,0,97,College Degree
2012,15,60,College Degree
2012,97,0,
2012,50,50,College Degree
2012,30,70,College Degree
2012,25,0,High School and Non-Academic Training
2012,60,15,High School
2012,50,50,Some College
2012,20,20,Some College
2012,0,73,High School and Non-Academic Training
2012,35,67,College Degree
2012,70,50,College Degree
2012,60,0,Some College
2012,50,50,High School
2012,15,15,Some College
2012,50,50,Some College
2012,60,50,High School
2012,60,97,College Degree
2012,70,15,
2012,0,0,High School
2012,50,0,College Degree
2012,40,60,College Degree
2012,60,50,Some College
2012,60,0,Some College
2012,85,0,Some College
2012,20,90,Some High School
2012,70,0,College Degree
2012,35,75,College Degree
2012,85,25,Some College
2012,30,60,Some College
2012,60,15,College Degree
2012,70,0,High School and Non-Academic Training
2012,10,80,College Degree
2012,40,60,College Degree
2012,50,70,High School
2012,85,0,High School
2012,50,40,College Degree
2012,85,40,High School
2012,15,50,College Degree
2012,30,70,College Degree
2012,75,45,College Degree
2012,60,15,Some College
2012,15,50,Some College
2012,50,0,Some College
2012,40,15,High School
2012,70,30,Some College
2012,5,85,College Degree
2012,60,59,Some College
2012,70,70,College Degree
2012,10,70,College Degree
2012,0,97,College Degree
2012,97,5,Some High School
2012,50,50,High School
2012,30,70,College Degree
2012,85,50,Some College
2012,60,15,Some College
2012,15,60,Some College
2012,0,85,High School
2012,95,0,High School
2012,40,90,College Degree
2012,60,40,Some College
2012,15,70,High School
2012,97,15,College Degree
2012,50,70,High School
2012,15,78,Some College
2012,20,80,High School
2012,50,45,College Degree
2012,40,50,High School
2012,60,60,College Degree
2012,50,60,High School
2012,45,60,High School and Non-Academic Training
2012,0,50,Some College
2012,70,15,College Degree
2012,30,90,Some High School
2012,55,40,High School and Non-Academic Training
2012,40,58,High School and Non-Academic Training
2012,50,50,Some College
2012,10,75,Some College
2012,97,0,Some College
2012,80,40,College Degree
2012,30,40,High School
2012,97,0,High School
2012,60,30,College Degree
2012,65,15,College Degree
2012,15,70,College Degree
2012,0,97,Some College
2012,70,30,College Degree
2012,70,35,College Degree
2012,85,15,High School
2012,15,60,College Degree
2012,15,75,College Degree
2012,70,15,Some College
2012,25,70,Some College
2012,90,14,Some College
2012,70,0,College Degree
2012,70,30,College Degree
2012,70,30,College Degree
2012,60,30,College Degree
2012,40,51,High School
2012,97,30,High School
2012,80,5,High School and Non-Academic Training
2012,70,15,High School
2012,80,48,High School
2012,50,85,High School
2012,60,40,Some College
2012,50,25,College Degree
2012,5,95,College Degree
2012,40,60,College Degree
2012,0,97,Some High School
2012,55,55,High School
2012,35,40,High School
2012,50,50,College Degree
2012,0,70,College Degree
2012,0,60,Some College
2012,50,30,College Degree
2012,70,0,College Degree
2012,85,50,High School
2012,30,30,8th Grade or Less
2012,75,0,Some College
2012,40,50,College Degree
2012,85,40,Some High School
2012,60,15,High School
2012,85,60,College Degree
2012,10,85,Some College
2012,85,15,College Degree
2012,30,31,College Degree
2012,97,50,Some High School
2012,0,85,High School
2012,15,85,Some College
2012,30,60,High School
2012,0,60,Some College
2012,10,90,High School
2012,60,60,Some College
2012,70,25,College Degree
2012,35,65,College Degree
2012,42,30,College Degree
2012,60,40,Some College
2012,40,15,College Degree
2012,50,50,8th Grade or Less
2012,40,60,High School
2012,70,0,Some College
2012,0,85,College Degree
2012,85,0,High School
2012,60,0,Some College
2012,55,15,High School and Non-Academic Training
2012,70,10,High School
2012,15,70,High School
2012,0,60,College Degree
2012,15,60,Some College
2012,60,0,College Degree
2012,40,50,Some High School
2012,50,50,College Degree
2012,60,0,College Degree
2012,85,15,Some College
2012,50,60,High School
2012,15,85,High School
2012,15,70,High School and Non-Academic Training
2012,30,70,Some College
2012,50,50,Some College
2012,40,3,Some College
2012,52,40,Some College
2012,40,70,High School
2012,15,85,Some College
2012,85,15,Some College
2012,70,60,Some College
2012,85,50,High School
2012,50,70,Some College
2012,15,67,College Degree
2012,50,70,8th Grade or Less
2012,60,40,College Degree
2012,0,15,College Degree
2012,70,0,College Degree
2012,40,55,Some College
2012,50,15,College Degree
2012,15,85,Some High School
2012,0,85,College Degree
2012,85,40,Some High School
2012,85,15,College Degree
2012,0,85,College Degree
2012,60,20,Some College
2012,0,0,Some College
2012,30,30,High School
2012,50,50,High School
2012,60,15,College Degree
2012,60,15,College Degree
2012,10,85,High School
2012,60,50,High School
2012,0,60,High School
2012,0,50,Some College
2012,30,90,College Degree
2012,25,60,College Degree
2012,85,0,College Degree
2012,41,72,College Degree
2012,15,60,College Degree
2012,20,5,Some College
2012,85,15,College Degree
2012,0,70,Some College
2012,70,15,High School
2012,40,55,College Degree
2012,40,40,Some College
2012,70,0,College Degree
2012,0,97,Some College
2012,70,0,Some College
2012,85,0,College Degree
2012,10,85,High School
2012,40,60,College Degree
2012,0,87,High School
2012,40,60,College Degree
2012,60,30,College Degree
2012,15,0,Some College
2012,60,60,College Degree
2012,0,97,High School
2012,55,90,High School and Non-Academic Training
2012,60,20,High School and Non-Academic Training
2012,85,15,College Degree
2012,60,30,High School
2012,0,60,College Degree
2012,15,70,High School and Non-Academic Training
2012,30,50,College Degree
2012,0,55,College Degree
2012,50,50,College Degree
2012,30,70,High School and Non-Academic Training
2012,70,0,College Degree
2012,40,70,Some College
2012,20,30,College Degree
2012,70,15,College Degree
2012,97,15,High School and Non-Academic Training
2012,0,85,College Degree
2012,15,60,High School
2012,0,90,Some College
2012,15,70,College Degree
2012,50,40,College Degree
2012,70,40,College Degree
2012,30,70,High School
2012,0,0,High School
2012,30,80,College Degree
2012,40,60,High School
2012,51,10,College Degree
2012,0,75,Some High School
2012,70,30,
2012,30,70,College Degree
2012,70,50,College Degree
2012,97,0,High School
2012,15,85,College Degree
2012,50,50,College Degree
2012,75,0,College Degree
2012,20,75,College Degree
2012,0,97,Some High School
2012,85,0,Some College
2012,15,60,Some College
2012,50,85,Some High School
2012,70,40,
2012,70,0,College Degree
2012,97,15,High School
2012,50,50,College Degree
2012,60,0,High School and Non-Academic Training
2012,60,50,High School
2012,15,75,Some College
2012,40,60,Some College
2012,25,55,Some College
2012,70,30,Some College
2012,60,60,High School
2012,60,70,High School and Non-Academic Training
2012,15,75,College Degree
2012,85,15,College Degree
2012,70,30,College Degree
2012,50,85,
2012,70,30,High School
2012,85,0,College Degree
2012,80,20,Some College
2012,15,60,Some College
2012,70,50,Some College
2012,50,50,High School
2012,15,85,Some College
2012,97,30,High School
2012,65,50,Some College
2012,85,0,Some College
2012,40,30,College Degree
2012,0,55,College Degree
2012,3,50,High School and Non-Academic Training
2012,0,85,Some College
2012,5,85,College Degree
2012,60,15,High School
2012,90,10,Some High School
2012,15,50,Some College
2012,,,High School
2012,50,15,College Degree
2012,97,15,Some College
2012,35,70,Some College
2012,60,0,High School
2012,30,70,High School
2012,0,80,Some College
2012,60,15,College Degree
2012,50,50,High School
2012,33,64,College Degree
2012,15,85,High School
2012,40,60,College Degree
2012,0,25,College Degree
2012,0,85,
2012,30,60,
2012,70,0,High School and Non-Academic Training
2012,40,40,High School
2012,15,60,Some College
2012,60,60,Some College
2012,0,60,College Degree
2012,70,45,Some College
2012,15,70,Some College
2012,0,70,Some College
2012,20,70,Some College
2012,55,40,Some College
2012,97,0,College Degree
2012,40,70,Some College
2012,97,0,Some College
2012,85,40,College Degree
2012,70,15,High School and Non-Academic Training
2012,85,5,College Degree
2012,97,15,Some College
2012,5,1,College Degree
2012,30,30,Some College
2012,97,0,Some High School
2012,87,55,College Degree
2012,70,70,Some College
2012,60,30,Some College
2012,0,70,Some College
2012,25,60,Some College
2012,14,79,High School
2012,90,15,Some College
2012,85,0,Some High School
2012,15,85,College Degree
2012,30,85,Some College
2012,60,0,High School
2012,97,0,Some High School
2012,97,10,College Degree
2012,50,50,Some College
2012,40,10,High School
2012,60,60,8th Grade or Less
2012,76,56,High School and Non-Academic Training
2012,40,60,Some College
2012,30,70,Some College
2012,70,30,College Degree
2012,60,50,Some College
2012,15,70,Some College
2012,15,55,High School and Non-Academic Training
2012,72,15,College Degree
2012,30,70,High School
2012,40,40,College Degree
2012,40,40,College Degree
2012,0,50,College Degree
2012,50,50,High School
2012,0,0,Some College
2012,30,70,College Degree
2012,79,22,College Degree
2012,70,30,College Degree
2012,0,60,College Degree
2012,85,30,Some High School
2012,0,55,College Degree
2012,70,20,College Degree
2012,50,50,High School and Non-Academic Training
2012,65,35,College Degree
2012,85,15,College Degree
2012,50,70,High School
2012,30,95,High School
2012,50,50,High School
2012,0,60,
2012,40,60,High School
2012,0,85,High School
2012,70,15,Some College
2012,63,39,College Degree
2012,85,15,Some College
2012,0,70,Some High School
2012,30,60,High School and Non-Academic Training
2012,0,97,College Degree
2012,0,70,College Degree
2012,60,50,High School
2012,30,60,Some College
2012,15,60,Some College
2012,50,50,High School
2012,40,15,College Degree
2012,60,30,College Degree
2012,50,30,College Degree
2012,75,40,Some College
2012,60,15,College Degree
2012,50,50,Some High School
2012,85,30,High School
2012,70,30,
2012,60,0,Some College
2012,70,15,Some College
2012,65,0,Some College
2012,85,0,
2012,50,50,Some College
2012,40,40,Some College
2012,0,0,High School
2012,70,15,High School
2012,60,0,College Degree
2012,40,15,High School
2012,60,60,College Degree
2012,70,30,College Degree
2012,50,60,High School
2012,70,30,High School and Non-Academic Training
2012,1,85,High School
2012,40,70,College Degree
2012,97,30,Some College
2012,97,50,High School and Non-Academic Training
2012,80,40,High School
2012,60,40,High School
2012,5,10,College Degree
2012,30,70,College Degree
2012,30,65,College Degree
2012,85,30,High School
2012,20,90,Some College
2012,40,45,High School
2012,77,30,College Degree
2012,30,0,High School
2012,70,40,High School
2012,85,30,High School
2012,70,30,Some College
2012,40,40,College Degree
2012,0,30,High School and Non-Academic Training
2012,70,15,High School
2012,97,15,College Degree
2012,50,60,High School and Non-Academic Training
2012,35,50,High School
2012,15,97,College Degree
2012,50,50,Some High School
2012,15,85,Some College
2012,40,40,8th Grade or Less
2012,70,0,College Degree
2012,70,0,High School
2012,70,50,Some College
2012,85,15,Some High School
2012,20,90,Some College
2012,30,70,High School
2012,0,97,High School
2012,97,0,High School
2012,40,85,High School
2012,30,97,Some College
2012,75,20,College Degree
2012,30,30,Some College
2012,25,75,Some College
2012,40,60,High School
2012,60,85,Some High School
2012,73,6,College Degree
2012,10,80,College Degree
